arquivo,linha,trecho,problema
Decisões Humanas.md,15,APP-A OK.,aprovacao_generica_sem_texto_literal
Decisões Humanas.md,16,I,aprovacao_generica_sem_texto_literal
Decisões Humanas.md,17,F_OK.,aprovacao_generica_sem_texto_literal
Decisões Humanas.md,19,E_OK.,aprovacao_generica_sem_texto_literal
Decisões Humanas.md,21,D_OK.,aprovacao_generica_sem_texto_literal
Decisões Humanas.md,23,C_OK.,aprovacao_generica_sem_texto_literal
Decisões Humanas.md,25,B_OK.,aprovacao_generica_sem_texto_literal
Decisões Humanas.md,,FASE0-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R01-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R02-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R03-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R04-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R05-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R06-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R07-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R08-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R09-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R10-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R11-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R12-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R13-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,R14-CAT-2026-06-18,decisao_sem_pergunta_e_resposta_literal
Decisões Humanas.md,,Goleiro vs. Especialista,decisao_literal_ausente_para_conceito_central
